web_scraper_order,web_scraper_start_url,nombre_del_hotel,nombre_usuario,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,nota_personal,nota_confort,nota_wifi,nota_instalaciones_servicios,nota_calidad_precio,nota_limpieza,nota_ubicacion,nota_media_resenas,comentario_media_hotel
1776375264-11,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Isidoro,Estados Unidos,Habitación Familiar,5 noches ·,En familia,Fabuloso,Todo,Mada,10,Fecha del comentario: 24 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-12,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Rosario,España,Alojamiento The Level Supreme,3 noches ·,Persona que viaja sola,"Acogedor, agradable, relajado.","Me gustó todo en general, sobretodo la amabilidad del personal.",No tengo ninguna queja.,10,Fecha del comentario: 20 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-13,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Sebastian,Austria,Alojamiento The Level Supreme,1 noche ·,En familia,Fantástico,"Trato de personal increible, realizamos dl check in en the level con laura, nos explico todo pdrfecto y nos hizo sentir muy bienvenidls.","El spa no se encontraba abierto y la insonorizacion de la habitacion no era buena, se escuchaba mucho lo que sucedia en el exterior de la misma y pasillo.","9,0",Fecha del comentario: 20 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-14,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Laura,España,Suite Junior Supreme The Level,3 noches ·,En pareja,Excepcional,"Fenomenal todo, ningún pero. Mos quedamos en The Level. Atencion increíble, la habitación espectacular. Planta 28. Vistas increíbles. La cama muy cómoda, el baño muy grande. Dispone también de aseo.",Todo muy bien.,10,Fecha del comentario: 18 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-15,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Beatriz,España,Habitación Meliá con vistas - 1 cama extragrande,2 noches ·,En pareja,Genial,"todo genial, muy limpio, desayuno increíble y personal muy amable",,10,Fecha del comentario: 18 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-16,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Gerard,España,Habitación Meliá,2 noches ·,En familia,Muy buen hotel,Instalaciones y desayuno,Precio pk,10,Fecha del comentario: 17 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-17,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Marc,España,Habitación Meliá con 1 cama extragrande,1 noche ·,En pareja,Recomendable a todo el mundo.,"Las instalaciones del hotel, las zonas comunes y la calidad de la habitación.",El precio.,10,Fecha del comentario: 17 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-18,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Juan,España,Alojamiento The Level Supreme,1 noche ·,En familia,Excepcional,"Excelente atención, habitación y servicios the level son espectaculares. Desayuno genial y el bar también muy bien.",,10,Fecha del comentario: 16 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-19,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Otiliamarinalbert,España,Habitación Meliá,1 noche ·,En pareja,Maravillosa y muy confortable,"Desayuno muy variado, y un horario amplio","No sabría decir, no tengo pegas","9,0",Fecha del comentario: 16 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-20,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Beatriz,España,Habitación Meliá,1 noche ·,Persona que viaja sola,Muy buen hotel,Muy buen hotel,El precio de los hoteles en Valencia se ha disparado,"9,0",Fecha del comentario: 15 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-21,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Oreto,España,Suite Junior,1 noche ·,En pareja,Relajante,La habitación era perfecta,Que no tenía balcón,10,Fecha del comentario: 14 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-22,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Ombretta,España,Habitación Meliá con 1 cama extragrande,1 noche ·,En pareja,Excepcional,Todo,,10,Fecha del comentario: 14 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-23,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Franco,Estados Unidos,Habitación Supreme,1 noche ·,En pareja,Agradable pero hay que mejorar la atención y los procesos,La Infraestructura y sus instalaciones,"La Atención. En la habitación tuve necesidades y llame por Teléfono en varios intentos  a la Recepción,  a un número de Información y a la Room Services y nunca fui atendido.  Y en el Desayuno me llevé a 3 invitados y fue un caos para registrar los invitados como desayunos adicionales. Adicional a que no fuimos dirigidos a la mesa al llegar al restaurante,  el cual nos solicitaron un cambio de mesa ya que esa estaba supuestamente reservada..Solicite en mi registro de entrada y pague también por un Late Chek  Out el cual tuve que volver a solicitar la extensión de la llave después de subir a la habitación como lo estaba pautado","8,0",Fecha del comentario: 14 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-24,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Luis,España,Habitación Meliá,1 noche ·,En pareja,Hotel con excelentes prestaciones,"El personal atento y muy eficiente. Las camas, mobiliarios, almohadas. Parking cómodo","El baño se notaba la falta de mantenimiento, no son habitaciones insonorizadas, aunque tampoco molestaba mucho.","8,0",Fecha del comentario: 14 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-25,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,De,España,Habitación Meliá con 1 cama extragrande,1 noche ·,En pareja,Excepcional,Llevo muchos años alojándome en este Hotel desde sus principios Hilton es todo muy confortable y comodo,El room service ha bajado un poco el sandwich club muy muy flojo,10,Fecha del comentario: 10 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
1776375264-26,https://www.booking.com/hotel/es/melia-valencia.es.html?aid=356980&label=gog235jc-10CAsoRkIObWVsaWEtdmFsZW5jaWFIClgDaEaIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoShhc8GwAIB0gIkYTdiMDc1YmYtMzBlZi00NWYxLWI4OGQtYWZhYTI5ZjQ2MDgw2AIB4AIB&sid=e0273f6555d680859423d757f926d3cf&dest_id=-406131&dest_type=city&dist=0&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&srepoch=1776373904&srpvid=a29595023e6105cf&type=total&ucfs=1&,Meliá Valencia,Lukitas14,España,Habitación Meliá,2 noches ·,En pareja,Fin de semana en Valencia.,"Amplitud de la habitación y baño.
El spa, muy completo y a buen precio para los clientes del hotel, aunque lo gestione una empresa ajena.
El desayuno es muy variado.
Un hotel con muy buenos servicios y estancias, como por ejemplo la coctelería Varsovia, perfecta para tomar un cóctel sin salir del hotel.","Un Meliá de cuatro estrellas debe aportar accesorios de baño como gorro de ducha, por ejemplo.
No hay enchufes en el baño.
Y un detalle que resulta extraño en un hotel de esta categoría: que aunque dejes la toalla para cambiar...no lo hagan y la vuelvan a colocar para su uso.","9,0",Fecha del comentario: 9 de febrero de 2026,"9,0","9,1",,"8,8","8,3","9,0","8,3","8,6",Fabuloso
