nombre_del_hotel,nacionalidad,detalles_hab,noches,personas,comentario_general,positivo,negativo,nota,fecha,comentario_media_hotel,positivo_clean,negativo_clean
barceló valencia,españa,,2,pareja,fantástico,"dar las gracias a rodrigo en recepción. fue muy amable y profesional. es muy importante como te reciben en la recepción, es empezar la estancia con confianza y lo agradeces después de un viaje largo. cenamos en el hotel y también la atención y el menú genial. hemos vuelto después de estar un tiempo sin ir porque la última vez no nos permitieron subir a la terraza y en cambio había personas jóvenes que no se alojaban como nosotros en el hotel. les recomiendo el hotel , hay bus a la playa y al centro. y caminando la ciudad de las ciencias. volveremos, ya que valencia es mi tierra maravillosa.",,9.0,2025-11-23,fabuloso,gracia rodrigo recepción amable profesional importante recibir recepción empezar confianza agradez viaje cenamos atención menú genial volver tiempo permitir subir terraza cambio persona joven alojar recomeir bus playa centro caminar ciudad ciencia volver tierra maravilloso,
barceló valencia,españa,,2,pareja,excepcional,ubicación y limpieza,algo caro,10.0,2025-11-10,fabuloso,ubicación limpieza,caro
barceló valencia,españa,,1,persona que viaja sola,excepcional,muy bonito,,10.0,2025-11-07,fabuloso,bonito,
barceló valencia,españa,,1,persona que viaja sola,fantástico,la habitación personal y el desayuno todo muy bien gracias pulgar hacia arriba,,9.0,2025-11-03,fabuloso,personal desayuno gracias pulgar,
barceló valencia,españa,,1,pareja,recomendable,"la ubicación excelente. la atención muy buena. las vistas de lujo. para corredores de media y maratón, el sitio ideal",el aseo emitía un olor desagradable,8.0,2025-10-26,fabuloso,ubicación excelente atención buen vista lujo corredor medio maratón sitio ideal,aseo emitir olor desagradable
barceló valencia,españa,,1,pareja,noche de bodas espectacular,habitación impecable sin ruidos,nada,9.0,2025-10-25,fabuloso,impecable ruido,
barceló valencia,españa,,1,pareja,excepcional,la ubicación,el desayuno es bastante caro.,10.0,2025-10-19,fabuloso,ubicación,desayuno bastante caro
barceló valencia,españa,,3,familia,excepcional,ubicación, ,10.0,2025-10-11,fabuloso,ubicación,
barceló valencia,españa,,1,pareja,maravilloso,tuve la suerte de que me hicieron cliente vip del dia. me regalaron 2 bebidas en su espectacular terraza y ademas me dieron una habitacion mejor a la que habia contratado. me hiceron el fin de semana mas feliz. se lo agradezco enormemente!!,me gusto todo.,10.0,2025-10-02,fabuloso,tener suerte cliente vip regalar bebida espectacular terraza mejor contratado hiceron semana feliz agradecer enormemente,gustar
barceló valencia,españa,,2,pareja,fin de semana valencia,ubicación y limpieza,aire acondicionado centralizado muy fuerte,9.0,2025-09-28,fabuloso,ubicación limpieza,aire acondicionado centralizado fuerte
barceló valencia,argentina,,4,pareja,todo exelente,"exelente trató del personal ! confort de habitación ! exelente desayuno , muy practica la ubicación",,10.0,2025-09-16,fabuloso,exelente tratar personal confort exelente desayuno practicar ubicación,
barceló valencia,españa,,1,pareja,noche de bodas,las vistas,nos gustó todo,10.0,2025-09-08,fabuloso,vista,gustar
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,3,familia,todo fantástico,las habitaciones muy grandes y cómodas.todo muy limpio. el buffet muy completo .además coincidió el viaje con la fecha de mi cumpleaños y han tenido el detalle de felicitarme y dejarme una pequeña sorpresa en la habitación muy contenta con la estancia!,,10.0,2025-09-07,fabuloso,habitación cómodas.todo limpio buffet completo .además coincidir viaje fecha cumpleaños detalle felicitar yo dejar yo pequeño sorpresa contentar,
barceló valencia,españa,,1,pareja,hotel de referencia en valencia,"muy buen hotel para disfrutar en valencia, sobre todo por la zona de la ciudad de las ciencias. muy cómodo y limpio. que tenga parking es un plus.",,9.0,2025-09-01,fabuloso,disfrutar zona ciudad ciencia cómodo limpio parking plus,
barceló valencia,españa,,2,pareja,fantástico,"muy buena vista y muy comoda la habitacion, no subimos a su mirador y no desayunamos por lo tanto no puedo opinar al respecto",,9.0,2025-08-28,fabuloso,buen vista comodo subir mirador desayunir opinar,
barceló valencia,españa,,2,pareja,"excelente estancia, repito sin objeciones","atención agradable, habitación muy cómoda y desayuno espectacular.",un poco incómodo el parking,10.0,2025-08-18,fabuloso,atención agradable cómodo desayuno espectacular,incómodo parking
barceló valencia,españa,,2,pareja,"excelente tamaño de la habitación, aire acondicionado y cama muy cómoda.","buena ubicación, amplia habitación, cama king size, muy cómoda. fabuloso aire acondicionado","el parking es tan estrecho que preferimos aparcar en la calle. el baño está  integrado  en la habitación, sin una puerta normal y con una pared de cristal que hace que si enciendes la luz para usarlo por la noche, moleste. debería haber un ascensor exclusivo para el rooftop. por las tardes es muy difícil coger el ascensor para subir-bajar a las habitaciones. siempre están llenos de gente que va a la azotea. tuvimos que bajar andando por las escaleras",8.0,2025-08-17,fabuloso,buen ubicación amplio cama king size cómodo fabuloso aire acondicionado,parking estrecho preferir aparcar calle baño integrado puerta normal pared cristal encender luz usar él noche moleste deber ascensor exclusivo rooftop tarde difícil coger ascensor subir-bajar habitación lleno gente azotea tener bajar andar escalera
barceló valencia,argentina,,3,pareja,casi cumple con todo lo que buscábamos,"ubicación! limpieza, desayuno",piscina diminuta! gimnasio pequeño!,8.0,2025-08-14,fabuloso,ubicación limpieza desayuno,piscina diminuto gimnasio pequeño
barceló valencia,españa,,2,familia,"muy bien, con matices","la habitación doble superior muy bien , la cercanía al océanografic, el desayuno inmejorable","la habitación triple no lo es, es una doble con tres camas lo lejos que está del centro",9.0,2025-08-12,fabuloso,doble superior cercanía océanografic desayuno inmejorable,triple doble cama lejos centro
barceló valencia,argentina,,1,grupo,muy recomendable,todo,un poco amargado el personal de recepción de la terraza. 30  antes del cierre ya no dejaba subir a mirar,10.0,2025-08-08,fabuloso,,amargado personal recepción terraza cierre dejar subir mirar
barceló valencia,españa,,2,pareja,excepcional,"la limpieza de las habitaciones, lo grande que era y cómoda. la ubicación y el desayuno",,10.0,2025-08-07,fabuloso,limpieza habitación cómodo ubicación desayuno,
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,familia,excepcional,increíble. todo perfecto. en el personal había un chico llamado rodrigo que fue súper amable. el resto del personal muy bien también. las instalaciones son estupendas,la piscina es muy muy pequeña.,10.0,2025-08-05,fabuloso,increíble perfecto personal chico llamado rodrigo súper amable resto personal instalación estupendo,piscina pequeño
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,familia,fantástico,las habitaciones comunicadas,no funcionaba foscurit. la piscina muy pequeña,10.0,2025-08-03,fabuloso,habitación comunicado,funcionar foscurit piscina pequeño
barceló valencia,españa,,3,familia,el desayuno: una maravilla.. cara feliz con ojos sonrientes,"la ubicación era muy buena para visitar el oceanografic  está muy cerca . la habitación muy limpia y las camas muy cómodas. el personal muy atento y amable. y el 10 de 10 fue el desayuno una maravilla! era muy, muy variado y hasta te hacían los huevos revueltos o la tortilla en el momento. cara sonriendo con corazones","el gimnasio es un poco pequeño, aunque nunca coincidí con demasiada gente. solo tiene una cinta de correr, una elíptica y una bici estática y están un poco estropeadas del tiempo. eso sí, las mancuernas, esterillas, etc..muy completas.",10.0,2025-08-02,fabuloso,ubicación buen visitar oceanografic cerca limpio cama cómodo personal atento amable desayuno maravilla variado hacer huevo revuelto tortilla momento cara sonreir corazón,gimnasio pequeño coincidir demasiado gente cinta correr elíptica bici estático estropeado tiempo mancuerna esterilla etc completa
barceló valencia,españa,,1,pareja,estupendo,"todo en general, el hotel moderno, el personal de recepción, la habitación, el que me complacieran en darme un piso alto y con unas vistas al oceanográfico increíbles. el aire acondicionado que tenían en estás fechas, maravilloso, que entrabas en el hotel y era como respirar. y una terraza en el último piso increíble.","quizás diría, que lo que me sorprendió, fue la piscina, era muy pequeña para el hotel tan grande, de hecho cuando la vi, pensé que era un jacuzzi.",10.0,2025-07-20,fabuloso,general moderno personal recepción complacer dar yo piso alto vista oceanográfico increíble aire acondicionado tener está fecha maravilloso entraba respirar terraza piso increíble,decir sorprender piscina pequeño pensar jacuzzi
barceló valencia,españa,,1,familia,excelente ubicación,ubicación y servicios,desayuno mejorable,8.0,2025-07-20,fabuloso,ubicación servicio,desayuno mejorable
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,grupo,muy buen hotel,,todavía estoy esperando recibir la factura que pedí y que prometieron enviarme,9.0,2025-07-12,fabuloso,,esperar recibir factura pedir prometer enviar yo
barceló valencia,españa,,3,pareja,muy agradecido,todo el personal muy agradable y hace la estancia más amena,calidad precio y la atención al cliente,10.0,2025-07-02,fabuloso,personal agradable más ameno,calidad precio atención cliente
barceló valencia,españa,,2,familia,muy bien pulgar hacia arriba,todo,nada,10.0,2025-07-01,fabuloso,,
barceló valencia,españa,,1,pareja,muy bien,todo bien,no me gusto el cobro por el parking,8.0,2025-06-23,fabuloso,,gusto cobro parking
barceló valencia,españa,,2,grupo,excepcional,el desayuno era impresionante. el personal muy amable y eficiente. tuvimos una avería en nuestra habitación y lo solucionaron rápido y de la mejor forma posible.,,10.0,2025-06-23,fabuloso,desayuno impresionante personal amable eficiente tener avería solucionar rápido mejor forma,
barceló valencia,españa,,1,familia,excepcional,todo la terraza y las vistas hermosas .,,10.0,2025-06-20,fabuloso,terraza vista hermoso,
barceló valencia,españa,,3,pareja,muy bien,"las instalaciones están muy bien y la cafetería está abierta en el horario de desayuno, que para mí que sólo me tomo un café me parece un lujo.",nada,8.0,2025-06-18,fabuloso,instalación cafetería abierto horario desayuno tomo café lujo,
barceló valencia,españa,,2,pareja,excepcional,el desayuno y la ubicación han sido lo mejor.,"tal vez mejoraría la limpieza, estaba bien, pero es mejorable.",10.0,2025-06-16,fabuloso,desayuno ubicación mejor,mejorarir limpieza mejorable
barceló valencia,argentina,,3,pareja,todo de excelencia,"excelente todo. la atención del personal, especialmente de patricia en recepción. limpio y perfecta ubicación.",,10.0,2025-06-12,fabuloso,excelente atención personal especialmente patricia recepción limpio perfecto ubicación,
barceló valencia,españa,,1,pareja,genial,la ubicación. la limpieza. la amabilidad de los empleados.,que las servilletas del restaurante fueran de papel.,10.0,2025-06-12,fabuloso,ubicación limpieza amabilidad empleado,servilleta restaurante ser papel
barceló valencia,españa,,2,pareja,muy bien,,el personal no es agradable con el cliente.,8.0,2025-06-10,fabuloso,,personal agradable cliente
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,grupo,cómoda y confortable,ubicación excelente desayuno no utilizamos habitación excelente,,10.0,2025-06-05,fabuloso,ubicación excelente desayuno utilizamos excelente,
barceló valencia,argentina,,2,pareja,súper recomendable! volveríamos!!,nos encantó! habitación grande y moderna. desayuno de 5 estrellas o más! personal agradable. muy recomendable,nos gustó todo. a modo de empatía creemos que tendrian que darle butacas a seguridad y recepción. es una observación humana que hemos hecho.,10.0,2025-06-03,fabuloso,encantar moderno desayuno estrella más personal agradable recomendable,gustar empatía creer tendriar dar él butaca seguridad recepción observación humano
barceló valencia,españa,,1,grupo,fantástico,todo,el olor a tuberías y no tener agua fría ducha,9.0,2025-06-02,fabuloso,,olor tubería agua frío ducha
barceló valencia,españa,,2,pareja,excepcional,el hotel es excelente y las habitaciones muy cómodas. tiene una terraza con piscina donde se puede tomar el sol o tomar algo tranquilamente. el personal es muy amable y profesional.,,10.0,2025-06-01,fabuloso,excelente habitación cómodo terraza piscina tomar sol tomar tranquilamente personal amable profesional,
barceló valencia,estados unidos,,2,pareja,muy buena,"desayuno excelente , buena ubicación",un poco de ruido de la calle en la habitación,10.0,2025-05-22,fabuloso,desayuno excelente buen ubicación,ruido calle
barceló valencia,españa,,1,familia,excepcional,"desayuno, terraza y ubicación",nada,10.0,2025-05-12,fabuloso,desayuno terrazar ubicación,
barceló valencia,españa,,3,persona que viaja sola,muy buena opción por comodidad y amabilidad del personal,"el hotel es muy cómodo y bien ubicado. el desayuno es muy completo, variado y de calidad. las habitaciones son amplias, cómodas e impolutas. el personal ha sido amabilísimo durante toda mi estancia. el menú para las cenas es bastante completo y a precio razonable. todo muy bien.",no tengo ninguna queja.,10.0,2025-05-08,fabuloso,cómodo ubicado desayuno completo variado calidad habitación amplio cómodo impoluta personal amabilísimo menú cena bastante completo precio razonable,queja
barceló valencia,españa,,2,pareja,magnífica en todos los sentidos,constatar que valencia tenga alojamientos de excelencia a precio razonable,nada puedo consignar como respuesta pues todo es óptimo,10.0,2025-05-08,fabuloso,constatar alojamiento excelencia precio razonable,consignar respuesta óptimo
barceló valencia,españa,,2,pareja,agradable,cómodo bien ubicado,el aire acondicionado el primer día no funcionaba bien,9.0,2025-05-04,fabuloso,cómodo ubicado,aire acondicionado funcionar
barceló valencia,argentina,,2,persona que viaja sola,excepcional,,"buenas noches, no me gusto que no aclaren que tipo de bebida era la que estaba incluida por estar hospedado, pague un trago como si no fuera huésped, gracias",10.0,2025-05-04,fabuloso,,buena noche gustar aclarir tipo bebida incluir hospedado pagar trago huésped gracias
barceló valencia,españa,,2,grupo,excepcional,la atención del personal,se escucha tráfico,10.0,2025-04-27,fabuloso,atención personal,escuchar tráfico
barceló valencia,españa,,3,pareja,fantástico,"la ubicación, la tranquilidad y el trato del personal .",la poca intimidad de la zona de aseo en la habitación.,9.0,2025-04-25,fabuloso,ubicación tranquilidad trato personal,intimidad zona aseo
barceló valencia,españa,,2,pareja,excelente,excelente servicio. el hostel está hermoso . nos llevamos unas experiencias de lujo. si eres huésped tienes prioridad en la terraza hermosa que tiene en el 10m piso.,,10.0,2025-04-08,fabuloso,excelente servicio hostel hermoso llevar experiencia lujo huésped tener prioridad terraza hermoso piso,
barceló valencia,españa,,2,pareja,muy bien,,el aire acondicionado es malo,8.0,2025-04-07,fabuloso,,aire acondicionado malo
barceló valencia,españa,,1,grupo,excepcional,todo fenomenal,,10.0,2025-03-13,fabuloso,fenomenal,
barceló valencia,españa,,1,persona que viaja sola,cómoda,super agradecida ya que tuve que dejar la habitación super temprano y me prepararon una bolsa con el desayuno para que pudiera desayunar a pesar de que aun no estaba abierto el restaurante,,9.0,2025-03-04,fabuloso,super agradecido tener dejar super preparar bolsa desayuno poder desayunar abierto restaurante,
barceló valencia,españa,,1,pareja,excepcional,"el trato del personal fue excelente. desayuno espectacular, saludable, con batidos detox... superó mis expectativas. impresionante rooftop. volvería a alojarme en este hotel, por lo tanto, lo recomiendo.",,10.0,2025-02-22,fabuloso,trato personal excelente desayuno espectacular saludable batido detox ... superar expectativa impresionante rooftop volver alojar yo recomeir,
barceló valencia,españa,,1,persona que viaja sola,estancia valencia,"amplitud de la habitación, desayuno.",zona de gimnasio pequeña.,8.0,2025-02-05,fabuloso,amplitud desayuno,zona gimnasio pequeño
barceló valencia,argentina,,3,familia,fantástico,las instalaciones del hotel,esta un poco alejado del centro historico,9.0,2025-02-04,fabuloso,instalación,alejado centro historico
barceló valencia,españa,,1,pareja,hotel muy completo y muy buena atención,hotel muy completo y con unos excelentes servicios. atención del personal muy buena. habitación amplia y con excelentes vistas a la ciudad de las ciencias ubicación perfecta pata la ciudad de las ciencias,algo alejado del centro histórico de la ciudad. decidimos ir andando y es un paseo de una media hora pero cómodo al ir paralelo al cauce del río turia.,10.0,2025-02-02,fabuloso,completo excelente servicio atención personal buen amplio excelente vista ciudad ciencia ubicación perfecto patar ciudad ciencia,alejado centro histórico ciudad decidir andar paseo medio hora cómodo paralelo cauce río turia
barceló valencia,españa,,1,persona que viaja sola,fantástico,desayuno muy bueno,"horario del gimnasio, para viajes de trabajo sería bueno que abriera antes.",9.0,2025-01-28,fabuloso,desayuno,horario gimnasio viaje trabajo abrierir
barceló valencia,españa,,1,pareja,excepcional,"la cama , el desayuno , las vistas ... todo perfecto",,10.0,2025-01-27,fabuloso,cama desayuno vista ... perfecto,
barceló valencia,españa,,1,pareja,fantástico,todo,nada,9.0,2025-01-26,fabuloso,,
barceló valencia,españa,,1,pareja,comodo y eficaz,desayuno muy bueno la ubicacion excelente,"la poca insonorización de las ventanas en las habitaciones , se oye todo de fuera.",9.0,2025-01-26,fabuloso,desayuno ubicacion excelente,insonorización ventana habitación oir
barceló valencia,españa,,2,persona que viaja sola,espectacular,"la habitación, muy amplia y funcional. la cama, muy cómoda. y se agradece el hervidor con café e infusiones. el desayuno es espectacular, con una gran variedad donde elegir y con alimentos de gran calidad. impresionante también la terraza rooftop, con vistas de 270 . y el personal, muy amable y atento, tanto el de recepción, como el del comedor y el de limpieza. un lugar para volver.",,10.0,2025-01-24,fabuloso,amplio funcional cama cómodo agradecer hervidor café infusión desayuno espectacular variedad elegir alimento calidad impresionante terraza rooftop vistas 270 personal amable atento recepción comedor limpieza lugar volver,
barceló valencia,italia,,1,persona que viaja sola,excepcional,me gusto esta todo limpio,,10.0,2025-01-17,fabuloso,gusto limpio,
barceló valencia,españa,,1,pareja,"agradecer mucho el trato de laura en recepción . amable,nos dio la oportunidad de ser vip en un dia muy especial,atenta","todo una maravilla, personal instalación ,son muy amables y servíciales. solo tuvimos un problemas en la habitación con el agua caliente pero nos cambiaron a otra habitación.",en general todo perfecto el tena de la bañera nos lo solucionaron de forma muy satisfactoria,8.0,2025-01-14,fabuloso,maravilla personal instalación amable servícial tener problema agua caliente cambiar,general perfecto tena bañera solucionar forma satisfactorio
barceló valencia,españa,,1,pareja,"ubicación, buena; comodidad, excelente; mantenimiento del hotel, genial.","el barceló de valencia siempre es una buena opción si corres en valencia, ya sea 10k, 21k o maratón. instalaciones cuidadas y mantenidas. muy importante esto último. el personal es amable, los baños están cuidados y limpios, y las camas almohadas son cómodas. nada de folios que apenas te dejan dormir. si acaso el único  pero  que le doy al hotel es quizás la insonorización para el ruido del tráfico. recomiendo que os alojéis en una habitación  sin vistas , es decir, en la parte trasera del edificio.","todo esta correctísimo, salvo, en ocasiones, el tráfico abundante que tienen los ascensores, pues mucha gente sube a la azotea a tomar copas.",8.0,2025-01-13,fabuloso,barceló buen opción correr 10k 21k maratón instalación cuidado mantenido importante personal amable baño cuidado limpio cama almohada cómodo folio apenas dejar dormir acaso único dar insonorización ruido tráfico recomeir alojéis vistas trasero edificio,correctísimo ocasión tráfico abundante ascensor gente subir azotea tomar copa
barceló valencia,españa,,2,pareja,estancia en barceló valencia,habitación muy bien pero el baño algo pequeño y echo de menos un bide el restaurante más que bien y el desayuno maravilloso el parking incómodo y con plazas muy justas,el parking del hotel con plazas muy peequeñas e incómodas,9.0,2024-12-25,fabuloso,baño pequeño echo bide restaurante más desayuno maravilloso parking incómodo plaza justo,parking plaza peequeña incómoda
barceló valencia,españa,,2,pareja,placentera y relajante,"el desayuno es muy variado y todo fresco y súper bien preparado javier, el chico es muy amable y prepara el desayuno que da gusto!!!","que la ducha no tenía gel, lo he tenido que pedir hasta en 4 oportunidades para que finalmente lo llevaran",10.0,2024-11-12,fabuloso,desayuno variado fresco súper preparado javier chico amable preparar desayuno gusto,ducha gel pedir oportunidad finalmente llevar
barceló valencia,suiza,,3,pareja,muy bien,todo bien,"deberían renovar las bañeras, estaba toda pelada",8.0,2024-11-11,fabuloso,,deber renovar bañera pelado
barceló valencia,españa,,1,pareja,fantástico,"el personal es muy amable, el trato es excelente y el desayuno perfecto.",la bañera no es de la calidad del resto de las instalaciones.,9.0,2024-10-13,fabuloso,personal amable trato excelente desayuno perfecto,bañera calidad resto instalación
barceló valencia,españa,,2,pareja,una delicia en valencia,"la habitación y la cama, era muy grande y cómoda.","quizá la piscina un poco pequeña, pero para estar en la azotea lo considero razonable.",8.0,2024-09-30,fabuloso,cama cómodo,piscina pequeño azotea considerar razonable
barceló valencia,españa,,2,pareja,excepcional,la atencion al cliente,,10.0,2024-09-16,fabuloso,atencion cliente,
barceló valencia,españa,,2,familia,excepcional,"el desayuno exquisito, la ubicación excelente",,10.0,2024-09-10,fabuloso,desayuno exquisito ubicación excelente,
barceló valencia,españa,,1,pareja,excepcional,"las instalaciones, sobre todo el bar de la azotea",,10.0,2024-09-09,fabuloso,instalación bar azotea,
barceló valencia,españa,,1,pareja,inolvidable,"las vistas, la habitación y el trato con el cliente.",,10.0,2024-09-01,fabuloso,vista trato cliente,
barceló valencia,españa,,3,familia,un excelente hotel con personales sumamente capacitados y muy muy amables y atentos,un hotel 5 estrellas para mí la atención de los personales súper amables muy atentos la calidad de la comida genial me gustó todooo,no me gustó volver a casa jajajaja,10.0,2024-08-30,fabuloso,estrella atención personal súper amable atento calidad comida genial gustar todooo,gustar volver casa jajajaja
barceló valencia,españa,,1,pareja,"buen hotel, limpio y cómodo","nos alojamos ahí siempre que vamos a valencia, nos gusta el hotel",nada en especial,9.0,2024-08-24,fabuloso,alojar gustar,especial
barceló valencia,españa,,1,persona que viaja sola,buena atención y calidad en valencia,"el hotel esta muy bien situado. tuve la suerte de recibir el trato vip por un día y claro que voy a decir malo del alojamiento. habitación super nueva y espaciosa, la piscina perfecta para refrescarte y el servicio genial. el restaurante muy rico buen servicio.","simplemente a modo de recomendación eché de menos alguna opción de comida saludable en la azotea del hotel, fuera de lo que es el restaurante de la planta baja, que como dije comí muy bien.",10.0,2024-08-20,fabuloso,situado tener suerte recibir trato vip malo super espaciós piscina perfecto refrescarte servicio genial restaurante rico servicio,simplemente recomendación eché opción comida saludable azotea restaurante planta bajo decir comí
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,familia,muy buena,casi todo en general muy agradable!!!,las almoadas!!!,9.0,2024-08-17,fabuloso,general agradable,almoada
barceló valencia,españa,,2,pareja,excelente,"muy buena ubicación, alrededores con parking gratuito, muy cómodo.",,10.0,2024-08-17,fabuloso,buen ubicación alrededor parking gratuito cómodo,
barceló valencia,españa,,1,pareja,excepcional,"el trato excelente de todo el personal, la habitación más grande de lo que esperaba, la terraza de la planta 10 es un espectáculo. todo perfecto",,10.0,2024-08-15,fabuloso,trato excelente personal más esperar terraza planta espectáculo perfecto,
barceló valencia,alemania,,3,grupo,buena ubicación,fuimos a un concierto a la ciudad de las ciencias y las artes y tienen una excelente ubicación. el bar de la azotea es muy recomendable para pasar una linda tardn la ciudad.,,9.0,2024-08-03,fabuloso,concierto ciudad ciencia art excelente ubicación bar azotea recomendable pasar linda tardn ciudad,
barceló valencia,españa,,2,pareja,excelente,"instalaciones, sitio",,10.0,2024-07-27,fabuloso,instalación sitio,
barceló valencia,españa,,1,familia,espectacular,"la calidad del servicio por parte de la recepcionista fue clave; asimismo, la habitación fue de diez y las zonas comunes también de la misma tipología.",no tengo queja de nada.,10.0,2024-07-27,fabuloso,calidad servicio recepcionista clave asimismo zona común tipología,queja
barceló valencia,españa,,2,familia,agradable,la ubicación limpieza y simpatía del personal,"un poco caro,la piscina pequeñísima y faltan salas para reunirse la familia lasmeeting rooms son para eventos",8.0,2024-07-22,fabuloso,ubicación limpieza simpatía personal,caro piscina pequeñísimo faltar sala reunir él familia lasmeeting rooms evento
barceló valencia,españa,2 habitaciones dobles deluxe comunicadas,1,familia,excepcional,el diseño de las habitaciones,,10.0,2024-07-21,fabuloso,diseño habitación,
barceló valencia,españa,,1,pareja,excepcional,"todo en general, servicios, facilidades, limpieza, personal, etc..",nada,10.0,2024-07-07,fabuloso,general servicio facilidad limpieza personal etc,
